rang,Commune,Province,Region_std,n_cas,suggestion_referentiel,score_suggestion,cumsum_pct
284,,Ouezzane,Tanger-Tétouan-Al Hoceïma,4,Zoumi,0.0,76.93443591258122
285,,Taza,Fès-Meknès,4,Zrarda,0.0,76.99350265800355
286,15 Eme Gare,Taza,Fès-Meknès,4,El Gouzate,0.476,77.05256940342588
287,,Tinghir,Drâa-Tafilalet,3,Toudgha Essoufla,0.0,77.09686946249262
288,,Errachidia,Drâa-Tafilalet,3,Taouz,0.0,77.14116952155936
289,wardana,Driouch,Oriental,3,Ourdana,0.714,77.1854695806261
290,tansgharte,Tinghir,Drâa-Tafilalet,3,Tinghir,0.588,77.22976963969285
291,segangan,Nador,Oriental,3,Zeghanghane,0.737,77.2740696987596
292,A. taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,3,Arbaa Taourirt,0.8,77.31836975782635
293,"A,chefkaoui",Al Haouz,Marrakech-Safi,3,Askaouen,0.526,77.36266981689309
294,ighrmloulne,Tinghir,Drâa-Tafilalet,3,Aghbalou N'Kerdous,0.483,77.40696987595983
295,boutaghrar,Tinghir,Drâa-Tafilalet,3,Outerbat,0.444,77.45126993502657
296,boumalne k,Tinghir,Drâa-Tafilalet,3,Boumalne Dadès,0.75,77.49556999409333
297,berraka,Nador,Oriental,3,Hassi Berkane,0.5,77.53987005316007
298,b.chiker,Nador,Oriental,3,Beni Chiker,0.737,77.58417011222681
299,ait slimane,Tinghir,Drâa-Tafilalet,3,Aït Hani,0.632,77.62847017129356
300,ait s jbel,Tinghir,Drâa-Tafilalet,3,Ait Sedrate Jbel El Oulia,0.571,77.67277023036031
301,ait idr,Tinghir,Drâa-Tafilalet,3,Aït Hani,0.667,77.71707028942706
302,agouidir,Chichaoua,Marrakech-Safi,3,Ighoud,0.571,77.7613703484938
303,Ain-Aicha Centre,Taounate,Fès-Meknès,3,Aïn Aïcha,0.72,77.80567040756054
304,Walili,Meknès,Fès-Meknès,3,Oualili,0.769,77.84997046662728
305,Tighboula,Béni Mellal,Béni Mellal-Khénifra,3,Timoulilt,0.556,77.89427052569404
306,Bit goulem,Taza,Fès-Meknès,3,Bni Lent,0.556,77.93857058476078
307,Tibihite,Béni Mellal,Béni Mellal-Khénifra,3,Tilougguite,0.526,77.98287064382752
308,Tassouite,Ouarzazate,Drâa-Tafilalet,3,Tansifte,0.706,78.02717070289427
309,Ait Tazarine,Tinghir,Drâa-Tafilalet,3,Aït Elfarsi,0.609,78.07147076196101
310,Ait mraou,Tinghir,Drâa-Tafilalet,3,Ait Youl,0.706,78.11577082102777
311,Taddert,Guercif,Oriental,3,Tissaf,0.308,78.16007088009451
312,Slilou,Tinghir,Drâa-Tafilalet,3,Assoul,0.5,78.20437093916125
313,Sidi ali ben brahim,Azilal,Béni Mellal-Khénifra,3,Moulay Aissa Ben Driss,0.488,78.248670998228
314,Sidi ahmed tadli,Sefrou,Fès-Meknès,3,Sidi Youssef Ben Ahmed,0.526,78.29297105729475
315,Sidi Ahmed Bouheddane,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Sidi Redouane,0.706,78.33727111636149
316,Sidi A Tadeli,Sefrou,Fès-Meknès,3,Ahl Sidi Lahcen,0.5,78.38157117542823
317,Si a ben brahim,Azilal,Béni Mellal-Khénifra,3,Aït Abbas,0.5,78.42587123449498
318,Senhaja,Sefrou,Fès-Meknès,3,Dar El Hamra,0.421,78.47017129356172
319,Sekoura,Sefrou,Fès-Meknès,3,Sefrou,0.615,78.51447135262848
320,Ait yassine,Tinghir,Drâa-Tafilalet,3,Ait Ouassif,0.727,78.55877141169522
321,Sais,Fès,Fès-Meknès,3,Ain Kansra,0.429,78.60307147076196
322,Safsaf,Sidi Kacem,Rabat-Salé-Kénitra,3,Selfat,0.333,78.6473715298287
323,Bouazier,Azilal,Béni Mellal-Khénifra,3,Bin El Ouidane,0.455,78.69167158889545
324,Bouargane,Agadir-Ida Ou Tanane,Souss-Massa,3,Imsouane,0.588,78.7359716479622
325,S/R,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Sidi Bousber,0.4,78.78027170702894
326,S.Kacem,Sidi Kacem,Rabat-Salé-Kénitra,3,Sidi Kacem,0.706,78.82457176609569
327,Rquen,Tinghir,Drâa-Tafilalet,3,Ikniouen,0.462,78.86887182516243
328,R'Ghiwa,Taounate,Fès-Meknès,3,Rghioua,0.714,78.91317188422919
329,Oulad L'Harti,Larache,Tanger-Tétouan-Al Hoceïma,3,Oulad Ouchih,0.64,78.95747194329593
330,Ouizghet,Taounate,Fès-Meknès,3,Ourtzagh,0.625,79.00177200236267
331,Oued Laabid,Azilal,Béni Mellal-Khénifra,3,Agoudi N'Lkhair,0.538,79.04607206142941
332,"Ol,DAOUD",Taounate,Fès-Meknès,3,Oulad Daoud,0.737,79.09037212049616
333,As jbel olia,Tinghir,Drâa-Tafilalet,3,Ferkla El Oulia,0.667,79.13467217956291
334,Od Youssef,Settat,Casablanca-Settat,3,Guisser,0.471,79.17897223862965
335,My brahim,Al Haouz,Marrakech-Safi,3,Moulay Brahim,0.818,79.2232722976964
336,My Idriss,Meknès,Fès-Meknès,3,Moulay Idriss Zarhoun,0.6,79.26757235676314
337,MunicipalitéBM,Béni Mellal,Béni Mellal-Khénifra,3,Tilougguite,0.32,79.31187241582988
338,Municipalité,Nador,Oriental,3,Beni Chiker,0.435,79.35617247489664
339,Mesmoda,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Masmouda,0.8,79.40047253396338
340,Menara,Tinghir,Drâa-Tafilalet,3,Imider,0.5,79.44477259303012
341,Medina,Al Haouz,Marrakech-Safi,3,Oukaimeden,0.5,79.48907265209687
342,Mbarek El bakay,Sefrou,Fès-Meknès,3,Dar El Hamra,0.593,79.53337271116361
343,Mansoura,Chefchaouen,Tanger-Tétouan-Al Hoceïma,3,Bni Mansour,0.737,79.57767277023036
344,"M,Bouchta",Taounate,Fès-Meknès,3,Bouhouda,0.588,79.6219728292971
345,Lalla Aicha,Sidi Kacem,Rabat-Salé-Kénitra,3,Bab Tiouka,0.19,79.66627288836385
346,Laanoucer,Sefrou,Fès-Meknès,3,Laanoussar,0.737,79.71057294743059
347,B.Abdellah,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,3,Bni Abdellah,0.818,79.75487300649735
348,Kebdani,Driouch,Oriental,3,Dar El Kebdani,0.667,79.79917306556409
349,Kamoune,Béni Mellal,Béni Mellal-Khénifra,3,Naour,0.5,79.84347312463083
350,Jorf Elmrlha,Sidi Kacem,Rabat-Salé-Kénitra,3,Oulad Nouel,0.348,79.88777318369758
351,Jnan ward,Fès,Fès-Meknès,3,Ain Kansra,0.421,79.93207324276432
352,Jiyarine,Taza,Fès-Meknès,3,Barkine,0.667,79.97637330183107
353,Jamila,Fquih Ben Salah,Béni Mellal-Khénifra,3,Bejaad,0.5,80.02067336089782
354,Beni Gorfat,Larache,Tanger-Tétouan-Al Hoceïma,3,Bni Garfett,0.727,80.06497341996456
355,Ben cheikh,Al Haouz,Marrakech-Safi,3,Ouneine,0.353,80.1092734790313
356,Iknioune,Ouarzazate,Drâa-Tafilalet,3,Toundoute,0.471,80.15357353809804
357,Ihchach,Agadir-Ida Ou Tanane,Souss-Massa,3,Ait Aissi Ihahane,0.333,80.1978735971648
358,B.ensar,Nador,Oriental,3,Beni Ansar,0.706,80.24217365623154
359,B.chiker,Nador,Oriental,3,Beni Chiker,0.737,80.28647371529829
360,Hdr,Guercif,Oriental,3,Debdou,0.222,80.33077377436503
361,Hay mohamadi,Agadir-Ida Ou Tanane,Souss-Massa,3,Agadir,0.444,80.37507383343178
362,Hay Mohamadi,Agadir-Ida Ou Tanane,Souss-Massa,3,Agadir,0.444,80.41937389249853
363,Haouafate,Sidi Kacem,Rabat-Salé-Kénitra,3,Chbanate,0.588,80.46367395156527
364,Gzenaya,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Ounnana,0.429,80.50797401063201
365,Gouzat,Taza,Fès-Meknès,3,El Gouzate,0.75,80.55227406969875
366,Ghorm el alam,Béni Mellal,Béni Mellal-Khénifra,3,Foum El Anceur,0.519,80.59657412876551
367,Foum er,Béni Mellal,Béni Mellal-Khénifra,3,Foum El Anceur,0.667,80.64087418783225
368,Bab M'rouj,Taza,Fès-Meknès,3,Bab Marzouka,0.727,80.685174246899
369,Barraca,Nador,Oriental,3,Bouarg,0.462,80.72947430596574
370,zte sidi kacem,Tétouan,Tanger-Tétouan-Al Hoceïma,3,Zaouiat Sidi Kacem,0.812,80.77377436503248
371,A h said,Tinghir,Drâa-Tafilalet,3,Ferkla Es-Soufla,0.417,80.81807442409924
372,15éme GARE,Taza,Fès-Meknès,3,El Gouzate,0.5,80.86237448316598
373,,Taounate,Fès-Meknès,2,Zrizer,0.0,80.89190785587714
374,A H Said,Tinghir,Drâa-Tafilalet,2,Ferkla Es-Soufla,0.417,80.92144122858831
375,A H oyahya,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.444,80.95097460129946
376,A Hammou,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Aït Kamra,0.471,80.98050797401064
377,A S Jbel,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Jbel El Oulia,0.485,81.01004134672179
378,A chefk,Al Haouz,Marrakech-Safi,2,Ahl Tifnoute,0.316,81.03957471943296
379,tarmoucht,Tinghir,Drâa-Tafilalet,2,Bou Azmou,0.444,81.06910809214412
380,"A, kansara",Moulay Yacoub,Fès-Meknès,2,Laajajra,0.556,81.09864146485529
381,zaouit nogart,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.5,81.12817483756645
382,zouagha,Fès,Fès-Meknès,2,Louadaine,0.5,81.15770821027762
383,,Béni Mellal,Béni Mellal-Khénifra,2,Timoulilt,0.0,81.18724158298878
384,Bouzemalne,Taza,Fès-Meknès,2,Bouyablane,0.7,81.21677495569995
385,tasouit,Tinghir,Drâa-Tafilalet,2,Assoul,0.615,81.2463083284111
386,tazzakht,Tinghir,Drâa-Tafilalet,2,Outerbat,0.375,81.27584170112227
387,tibihite,Béni Mellal,Béni Mellal-Khénifra,2,Tilougguite,0.526,81.30537507383343
388,,Larache,Tanger-Tétouan-Al Hoceïma,2,Zouada,0.0,81.33490844654459
389,senhaja,Sefrou,Fès-Meknès,2,Dar El Hamra,0.421,81.36444181925576
390,sidi ahmed tadli,Sefrou,Fès-Meknès,2,Sidi Youssef Ben Ahmed,0.526,81.39397519196692
391,sidi h o hamd,Essaouira,Marrakech-Safi,2,Sidi H'Mad Ou Hamed,0.812,81.42350856467809
392,tansghart,Tinghir,Drâa-Tafilalet,2,Tinghir,0.625,81.45304193738924
393,Chouiter,Al Haouz,Marrakech-Safi,2,Tighedouine,0.526,81.48257531010042
394,ouarchdik,Tinghir,Drâa-Tafilalet,2,Ouaklim,0.5,81.51210868281157
395,"s,yahya/zeroual",Taounate,Fès-Meknès,2,Sidi Yahya Bni Zeroual,0.757,81.54164205552274
396,saiss,Fès,Fès-Meknès,2,Ain Kansra,0.4,81.5711754282339
397,my bouchta,Taounate,Fès-Meknès,2,Bni Bouchibet,0.609,81.60070880094507
398,old taher,Taounate,Fès-Meknès,2,Oulad Daoud,0.5,81.63024217365623
399,magaz kelaa,Tinghir,Drâa-Tafilalet,2,Aït Elfarsi,0.455,81.6597755463674
400,mecheraa laine,Taroudant,Souss-Massa,2,Machraa El Ain,0.786,81.68930891907856
401,merna,Tinghir,Drâa-Tafilalet,2,Imider,0.545,81.71884229178973
402,mezguitem,Guercif,Oriental,2,Mazguitam,0.778,81.74837566450088
403,Aait adel,Al Haouz,Marrakech-Safi,2,Sti Fadma,0.444,81.77790903721205
404,"k,militaire",Taza,Fès-Meknès,2,Msila,0.5,81.80744240992321
405,kelaa,Ouarzazate,Drâa-Tafilalet,2,Afella N'Dra,0.471,81.83697578263438
406,khmiss DADES,Tinghir,Drâa-Tafilalet,2,Souk Lakhmis Dades,0.733,81.86650915534554
407,khmiss dadaes,Tinghir,Drâa-Tafilalet,2,Souk Lakhmis Dades,0.71,81.89604252805671
408,Barraka,Nador,Oriental,2,Arekmane,0.4,81.92557590076787
409,Bel,Sidi Kacem,Rabat-Salé-Kénitra,2,Selfat,0.444,81.95510927347902
410,ighramloule,Tinghir,Drâa-Tafilalet,2,Toudgha El Oulia,0.519,81.9846426461902
411,ighramloulne,Tinghir,Drâa-Tafilalet,2,Aghbalou N'Kerdous,0.533,82.01417601890135
412,A.mediouna,Taounate,Fès-Meknès,2,Ain Mediouna,0.818,82.04370939161252
413,A.taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Arbaa Taourirt,0.75,82.07324276432368
414,hanchen,Essaouira,Marrakech-Safi,2,El Hanchane,0.667,82.10277613703485
415,hay salam kelaa,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Sahl El Gharbia,0.476,82.13230950974601
416,iazaneen,Nador,Oriental,2,Iaazzanene,0.778,82.16184288245718
417,ibrghoussne,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.455,82.19137625516834
418,ida ouguerd,Essaouira,Marrakech-Safi,2,Aguerd,0.706,82.22090962787951
419,igheram amazdar,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Sahl Charkia,0.41,82.25044300059066
420,bouzmlane,Taza,Fès-Meknès,2,Bouyablane,0.737,82.27997637330184
421,chahid baha,Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.538,82.30950974601299
422,hadkouret,Sidi Kacem,Rabat-Salé-Kénitra,2,Taoughilt,0.444,82.33904311872416
423,Darksdani,Driouch,Oriental,2,Dar El Kebdani,0.696,82.36857649143532
424,Dg,Sidi Kacem,Rabat-Salé-Kénitra,2,Zaggota,0.222,82.39810986414649
425,Cmsu,Agadir-Ida Ou Tanane,Souss-Massa,2,Imsouane,0.5,82.42764323685765
426,bni enssar,Nador,Oriental,2,Beni Ansar,0.8,82.45717660956882
427,bouchair,Settat,Casablanca-Settat,2,Oulad Sghir,0.526,82.48670998227998
428,boumardoul,Tinghir,Drâa-Tafilalet,2,Bou Azmou,0.632,82.51624335499115
429,bab mrouj,Taza,Fès-Meknès,2,Bab Marzouka,0.762,82.5457767277023
430,akdim,Tinghir,Drâa-Tafilalet,2,Ouaklim,0.667,82.57531010041346
431,akdim ait mraou,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.522,82.60484347312463
432,ait harouit,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.737,82.63437684583579
433,ait kassi,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.8,82.66391021854696
434,ait ouffi,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.706,82.69344359125812
435,ait wahi,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.75,82.72297696396929
436,ait boamrane,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.6,82.75251033668044
437,ait boullal,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.737,82.78204370939162
438,ait driss,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.6,82.81157708210277
439,ait gmate,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.588,82.84111045481394
440,ait h said,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.778,82.8706438275251
441,ait hammou osaid,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.593,82.90017720023627
442,ait hamou oussaid,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.643,82.92971057294743
443,Douar Chems,Ouarzazate,Drâa-Tafilalet,2,Skoura Ahl El Oust,0.483,82.9592439456586
444,Douar Oulad Mkadem,Guelmim,Guelmim-Oued Noun,2,Aouint Yghomane,0.242,82.98877731836976
445,Zerhoune,Meknès,Fès-Meknès,2,Ouislane,0.5,83.01831069108093
446,ain bziz,Meknès,Fès-Meknès,2,Aïn Orma,0.5,83.04784406379208
447,ait Attab,Azilal,Béni Mellal-Khénifra,2,Aït Abbas,0.667,83.07737743650326
448,Z'Rizar,Taounate,Fès-Meknès,2,Zrizer,0.769,83.10691080921441
449,Ain dorrij,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Ain Dfali,0.632,83.13644418192557
450,Toufist,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Targuist,0.667,83.16597755463674
451,Ait Hammou Osaid,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.593,83.1955109273479
452,Ait Sawane,Ouarzazate,Drâa-Tafilalet,2,Ait Zineb,0.632,83.22504430005907
453,Tizagui,Azilal,Béni Mellal-Khénifra,2,Tisqi,0.5,83.25457767277022
454,Bit Ghoulam,Taza,Fès-Meknès,2,Tahla,0.5,83.2841110454814
455,Bni wanjel,Taounate,Fès-Meknès,2,Bni Rzine,0.632,83.31364441819255
456,Timskalte,Tinghir,Drâa-Tafilalet,2,Tilmi,0.429,83.34317779090372
457,Draa,Azilal,Béni Mellal-Khénifra,2,Rfala,0.667,83.37271116361488
458,El Kassam,Settat,Casablanca-Settat,2,Oulad Saïd,0.421,83.40224453632605
459,Ait atab,Azilal,Béni Mellal-Khénifra,2,Aït Abbas,0.706,83.43177790903721
460,Tessa,Taounate,Fès-Meknès,2,Tissa,0.8,83.46131128174838
461,Taoujtat,El Hajeb,Fès-Meknès,2,Agourai,0.533,83.49084465445954
462,Tarmast,Fquih Ben Salah,Béni Mellal-Khénifra,2,Tachraft,0.667,83.52037802717071
463,Tasouit,Tinghir,Drâa-Tafilalet,2,Assoul,0.615,83.54991139988186
464,Ait majber,Tinghir,Drâa-Tafilalet,2,Aït Elfarsi,0.571,83.57944477259304
465,Takerkouste,Al Haouz,Marrakech-Safi,2,Lalla Takarkoust,0.667,83.60897814530419
466,Tabrkhachet,Tinghir,Drâa-Tafilalet,2,Souk Lakhmis Dades,0.345,83.63851151801536
467,Tadout,Boulemane,Fès-Meknès,2,Talzemt,0.462,83.66804489072652
468,Taglafte,Azilal,Béni Mellal-Khénifra,2,Tanant,0.571,83.69757826343769
469,Skhinat,Fès,Fès-Meknès,2,Ain Bida,0.4,83.72711163614885
470,Somâa,Béni Mellal,Béni Mellal-Khénifra,2,Oulad Gnaou,0.375,83.75664500886
471,Souk laarbaa,Kénitra,Rabat-Salé-Kénitra,2,Oulad Slama,0.522,83.78617838157118
472,Syba,Chichaoua,Marrakech-Safi,2,Saidate,0.364,83.81571175428233
473,Ennakhil,Al Haouz,Marrakech-Safi,2,Ighil,0.462,83.8452451269935
474,Ennakhil,Rehamna,Marrakech-Safi,2,Ait Taleb,0.118,83.87477849970466
475,F.Anceur,Béni Mellal,Béni Mellal-Khénifra,2,Foum El Anceur,0.636,83.90431187241583
476,Sbab,Guercif,Oriental,2,Assebbab,0.667,83.93384524512699
477,Sebab,Guercif,Oriental,2,Assebbab,0.769,83.96337861783816
478,Segangan,Nador,Oriental,2,Zeghanghane,0.737,83.99291199054932
479,Sgangan,Nador,Oriental,2,Zeghanghane,0.667,84.02244536326049
480,"Sidi A,Tadli",Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.444,84.05197873597164
481,Sidi Abdelaziz,Sidi Slimane,Rabat-Salé-Kénitra,2,Sidi Al Kamel,0.593,84.08151210868282
482,Ait oum bakht,Béni Mellal,Béni Mellal-Khénifra,2,Ait Ouqabli,0.583,84.11104548139397
483,Sab,Azilal,Béni Mellal-Khénifra,2,Tabia,0.5,84.14057885410514
484,Sab,Moulay Yacoub,Fès-Meknès,2,Sidi El Abed,0.4,84.1701122268163
485,"S,Fasma",Al Haouz,Marrakech-Safi,2,Sti Fadma,0.625,84.19964559952747
486,S-A-Ouhamd,Essaouira,Marrakech-Safi,2,Sidi H'Mad Ou Hamed,0.69,84.22917897223863
487,S.M.B.L,Taounate,Fès-Meknès,2,Bouadel,0.286,84.2587123449498
488,S.Redouane,Sidi Kacem,Rabat-Salé-Kénitra,2,Oulad Nouel,0.476,84.28824571766096
489,Bnisadden,Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.333,84.31777909037213
490,Fansseur,Béni Mellal,Béni Mellal-Khénifra,2,Foum El Anceur,0.545,84.34731246308328
491,Feriata,Béni Mellal,Béni Mellal-Khénifra,2,Boutferda,0.5,84.37684583579444
492,Fersiou,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Teroual,0.571,84.40637920850561
493,B.hadifa,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Hadifa,0.778,84.43591258121677
494,Alwahda,Taza,Fès-Meknès,2,Tahla,0.5,84.46544595392794
