region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Béni Mellal-Khénifra,2038,8,79.63578282974781,62.56294961271301,96.70861604678261
Béni Mellal-Khénifra,2038,9,91.91508232683985,73.51941308363375,110.31075157004595
Béni Mellal-Khénifra,2038,10,97.31293898109986,78.3569389495407,116.26893901265902
Béni Mellal-Khénifra,2038,11,109.37897106022386,89.18912408728926,129.56881803315846
Béni Mellal-Khénifra,2038,12,113.64787984923991,93.078017574652,134.21774212382783
Béni Mellal-Khénifra,2039,1,112.44412256872359,91.97192396483115,132.91632117261602
Béni Mellal-Khénifra,2039,2,115.45678583632176,94.70543351981041,136.2081381528331
Béni Mellal-Khénifra,2039,3,120.91894529951496,99.66722664504974,142.17066395398018
Béni Mellal-Khénifra,2039,4,117.40255582758321,96.47452515466334,138.3305865005031
Béni Mellal-Khénifra,2039,5,100.35104780364904,81.05059368859972,119.65150191869836
Béni Mellal-Khénifra,2039,6,92.4467366750852,73.96198901487188,110.93148433529853
Béni Mellal-Khénifra,2039,7,81.896543979398,64.54903818799815,99.24404977079786
Béni Mellal-Khénifra,2039,8,78.56356311483742,61.60902594344344,95.5181002862314
Béni Mellal-Khénifra,2039,9,90.80221112726409,72.51757443783251,109.08684781669567
Béni Mellal-Khénifra,2039,10,96.99919061439496,78.07152869095354,115.92685253783638
Béni Mellal-Khénifra,2039,11,109.36122297032081,89.17335115959557,129.54909478104605
Béni Mellal-Khénifra,2039,12,113.5109121672283,92.95325835516189,134.0685659792947
Béni Mellal-Khénifra,2040,1,112.7966019132928,92.29109062631764,133.30211320026797
Béni Mellal-Khénifra,2040,2,115.00206951699485,94.2915614917453,135.7125775422444
Béni Mellal-Khénifra,2040,3,121.38930527454808,100.09482221419817,142.68378833489797
Béni Mellal-Khénifra,2040,4,117.6096880603578,96.66242044179603,138.55695567891956
Béni Mellal-Khénifra,2040,5,100.85900650501569,81.50799346952064,120.21001954051073
Béni Mellal-Khénifra,2040,6,92.15464669360352,73.70033054071283,110.60896284649422
Béni Mellal-Khénifra,2040,7,82.17873078641698,64.80099731271893,99.55646426011502
Béni Mellal-Khénifra,2040,8,79.46841907015981,62.41456076726704,96.52227737305259
Béni Mellal-Khénifra,2040,9,91.7251026845164,73.3492182903717,110.1009870786611
Béni Mellal-Khénifra,2040,10,97.01078288230507,78.0855328314089,115.93603293320123
Béni Mellal-Khénifra,2040,11,109.32096518692389,89.13656365510991,129.50536671873786
Béni Mellal-Khénifra,2040,12,113.8549695607868,93.26568097653785,134.44425814503575
Béni Mellal-Khénifra,2041,1,112.4724798297446,91.99775689491011,132.9472027645791
Béni Mellal-Khénifra,2041,2,115.19151943461482,94.46451999403173,135.91851887519792
Béni Mellal-Khénifra,2041,3,121.1937432798003,99.91724452057866,142.47024203902194
Béni Mellal-Khénifra,2041,4,117.4136706645052,96.4844319979093,138.3429093311011
Béni Mellal-Khénifra,2041,5,100.71902499911559,81.38194681875547,120.05610317947571
Béni Mellal-Khénifra,2041,6,91.85047406921132,73.42785063706702,110.27309750135561
Béni Mellal-Khénifra,2041,7,81.51809130278502,64.21155659837356,98.82462600719649
Béni Mellal-Khénifra,2041,8,78.6245578847235,61.66326419113828,95.58585157830872
Béni Mellal-Khénifra,2041,9,90.84767604420362,72.5582882950985,109.13706379330874
Béni Mellal-Khénifra,2041,10,97.27221511482075,78.31686446776921,116.2275657618723
Béni Mellal-Khénifra,2041,11,109.5732797977651,89.36519513479814,129.78136446073205
Béni Mellal-Khénifra,2041,12,113.62145260500955,93.05336427392076,134.18954093609833
Béni Mellal-Khénifra,2042,1,112.58708712762056,92.10132544736274,133.0728488078784
Béni Mellal-Khénifra,2042,2,115.65151327413166,94.88075279086965,136.42227375739367
Béni Mellal-Khénifra,2042,3,121.15474588821365,99.88097086458217,142.42852091184514
Béni Mellal-Khénifra,2042,4,117.48231031013893,96.54616924040315,138.4184513798747
Béni Mellal-Khénifra,2042,5,100.34474942339413,81.04528735988478,119.64421148690349
Béni Mellal-Khénifra,2042,6,92.32457058333047,73.85255279181861,110.79658837484233
Béni Mellal-Khénifra,2042,7,82.01048933605584,64.65254188404816,99.36843678806352
Béni Mellal-Khénifra,2042,8,79.63375732098262,62.5613507522492,96.70616388971605
Béni Mellal-Khénifra,2042,9,91.94774962477956,73.54861748314099,110.34688176641814
Béni Mellal-Khénifra,2042,10,97.31692614814148,78.36069125378347,116.27316104249948
