rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
231,Bouhmed,Chefchaouen,2,Tabouda,0.571,Bouhmame,0.8,Sidi Bennour,40.735400144196106,
232,M kellat magouna,Tinghir,2,Kalaat M'Gouna,0.733,Kalaat M'Gouna,0.733,Tinghir,40.87959625090122,
233,Lkrakra,Settat,2,Oulad Freiha,0.316,Laqraqra,0.667,Fquih Ben Salah,41.02379235760635,
234,Lkhmis,Tinghir,2,Tilmi,0.545,Khémisset,0.667,Khemisset,41.16798846431146,
235,Lakmis,Tinghir,2,Tilmi,0.545,Lamssid,0.615,Boujdour,41.31218457101658,
236,Laaouina,Azilal,2,Taounza,0.667,Laaouinate,0.889,Jerada,41.456380677721704,
237,Laamoucha,Settat,2,Lahouaza,0.588,Laaouama,0.706,Tanger-Assilah,41.60057678442682,
238,Krona,Driouch,2,Ourdana,0.5,Tekna,0.6,Sidi Kacem,41.74477289113194,
239,Krakra,Settat,2,Rima,0.4,Hrara,0.727,Safi,41.88896899783706,
240,Kolea,Inezgane-Aït Melloul,2,Ouled Teima,0.5,Boulemane,0.571,Boulemane,42.03316510454218,
241,Koka si Moussa,Settat,2,Zaouiat Sidi Ben Hamdoun,0.474,Sidi Moussa,0.72,El Kelâa des Sraghna,42.177361211247295,
242,Khlalta,Fquih Ben Salah,2,Fkih Ben Salah,0.381,Khlalfa,0.857,Taounate,42.32155731795242,
243,Fersiou,Ouezzane,2,Teroual,0.571,Tafersit,0.667,Driouch,42.465753424657535,
244,Feriata,Béni Mellal,2,Boutferda,0.5,Fraita,0.769,El Kelâa des Sraghna,42.60994953136265,
245,Fansseur,Béni Mellal,2,Foum El Anceur,0.545,Aousserd,0.625,Aousserd,42.75414563806777,
246,F.Anceur,Béni Mellal,2,Foum El Anceur,0.636,Foum El Anceur,0.636,Béni Mellal,42.89834174477289,
247,Ennakhil,Rehamna,2,Ait Taleb,0.118,Ben Khlil,0.706,Tan-Tan,43.04253785147801,
248,Ennakhil,Al Haouz,2,Ighil,0.462,Ben Khlil,0.706,Tan-Tan,43.186733958183126,
249,Douar Chems,Ouarzazate,2,Skoura Ahl El Oust,0.483,Rouached,0.632,Fquih Ben Salah,43.33093006488825,
250,Dg,Sidi Kacem,2,Zaggota,0.222,Madagh,0.5,Berkane,43.47512617159337,
251,El Kassam,Settat,2,Oulad Saïd,0.421,El Kansera,0.737,Khemisset,43.61932227829848,
252,Draa,Azilal,2,Rfala,0.667,Drargua,0.727,Inezgane-Aït Melloul,43.76351838500361,
253,Douar Oulad Mkadem,Guelmim,2,Aouint Yghomane,0.242,Houara Oulad Raho,0.686,Guercif,43.907714491708724,
