rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
82,Timolilte,Azilal,Béni Mellal-Khénifra,13,Imlil,0.714,Timoulilt,0.889,Béni Mellal,58.19875776397515,
83,Bouzamlane,Taza,Fès-Meknès,13,Bouyablane,0.8,Bouyablane,0.8,Taza,58.400621118012424,
84,My Brahim,Al Haouz,Marrakech-Safi,13,Moulay Brahim,0.818,Moulay Brahim,0.818,Al Haouz,58.60248447204969,
85,Mzem,El Kelâa des Sraghna,Marrakech-Safi,13,Zemrane,0.545,Zemrane,0.545,El Kelâa des Sraghna,58.80434782608695,
86,Beni Sadden,Sefrou,Fès-Meknès,13,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,59.006211180124225,
87,Iaazazen,Nador,Oriental,12,Iaazzanene,0.778,Iaazzanene,0.778,Nador,59.192546583850934,
88,Aderj,Sefrou,Fès-Meknès,12,Ahermoumou,0.4,Adrej,0.8,Boulemane,59.37888198757764,
89,boutghrar,Tinghir,Drâa-Tafilalet,12,Outerbat,0.588,Boughriba,0.778,Berkane,59.56521739130435,
90,Tdili,Azilal,Béni Mellal-Khénifra,12,Tisqi,0.6,Tilmi,0.8,Tinghir,59.75155279503105,
91,kabdani,Driouch,Oriental,11,Dar El Kebdani,0.571,Tabant,0.615,Azilal,59.922360248447205,
92,Iminoulaouen,Ouarzazate,Drâa-Tafilalet,11,Toundoute,0.476,Imi N'Oulaoune,0.846,Azilal,60.09316770186335,
93,Kouacem,Fquih Ben Salah,Béni Mellal-Khénifra,11,Rouached,0.667,Kouzemt,0.714,Essaouira,60.2639751552795,
94,"A,Chefk",Al Haouz,Marrakech-Safi,11,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,60.43478260869565,
95,My Bouchta,Taounate,Fès-Meknès,11,Bni Bouchibet,0.609,Moulay Bouchta,0.833,Moulay Yacoub,60.6055900621118,
96,Lkhmiss Dades,Tinghir,Drâa-Tafilalet,11,Souk Lakhmis Dades,0.774,Souk Lakhmis Dades,0.774,Tinghir,60.77639751552795,
97,Tirest,Azilal,Béni Mellal-Khénifra,11,Tisqi,0.545,Tiflet,0.667,Khemisset,60.9472049689441,
98,Ighilamgone,Tinghir,Drâa-Tafilalet,11,Kalaat M'Gouna,0.48,Ighil N'Oumgoun,0.692,Azilal,61.11801242236025,
99,Yasmine,Sidi Kacem,Rabat-Salé-Kénitra,11,Ain Jemaa,0.5,Lahsinate,0.625,Essaouira,61.2888198757764,
100,bab zitouna,Taza,Fès-Meknès,11,Bab Marzouka,0.696,Bab Tiouka,0.762,Sidi Kacem,61.45962732919255,
101,Boujediane,Larache,Tanger-Tétouan-Al Hoceïma,10,Souaken,0.471,Bou Jedyane,0.857,Ouezzane,61.61490683229814,
102,lekhmiss,Tinghir,Drâa-Tafilalet,10,Souk Lakhmis Dades,0.538,Khémisset,0.706,Khemisset,61.77018633540373,
103,Bani saden,Sefrou,Fès-Meknès,10,Aït Seghrouchen,0.48,Bni Said,0.778,Tétouan,61.92546583850932,
104,Khmiss dades,Tinghir,Drâa-Tafilalet,10,Souk Lakhmis Dades,0.733,Souk Lakhmis Dades,0.733,Tinghir,62.08074534161491,
105,Ourbiaa,Béni Mellal,Béni Mellal-Khénifra,10,Afourar,0.571,Ourika,0.769,Al Haouz,62.2360248447205,
106,Bab Mrouj,Taza,Fès-Meknès,10,Bab Marzouka,0.762,Bab Marzouka,0.762,Taza,62.391304347826086,
107,Tibihit,Béni Mellal,Béni Mellal-Khénifra,10,Taghzirt,0.4,Tighirt,0.714,Tiznit,62.546583850931675,
108,Neknafa,Essaouira,Marrakech-Safi,10,Meskala,0.571,Tekna,0.667,Sidi Kacem,62.701863354037265,
109,"A,Mediona",Taounate,Fès-Meknès,10,Ain Mediouna,0.762,Médiouna,0.824,Nouaceur,62.857142857142854,
110,Bouzmlne,Taza,Fès-Meknès,9,Bouyablane,0.667,Boulemane,0.706,Boulemane,62.99689440993789,
111,Kansara,Moulay Yacoub,Fès-Meknès,9,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,63.13664596273292,
112,Lakhemis,Tinghir,Drâa-Tafilalet,9,Souk Lakhmis Dades,0.538,Khémisset,0.706,Khemisset,63.27639751552795,
113,Amsa,Tétouan,Tanger-Tétouan-Al Hoceïma,9,Azla,0.5,Assa,0.75,Assa-Zag,63.41614906832298,
114,hanchene,Essaouira,Marrakech-Safi,9,El Hanchane,0.737,El Hanchane,0.737,Essaouira,63.55590062111801,
115,Ain Doreij,Ouezzane,Tanger-Tétouan-Al Hoceïma,9,Ain Dfali,0.632,Aïn Orma,0.667,Meknès,63.69565217391305,
116,Tisi ousli,Taza,Fès-Meknès,9,Oued Amlil,0.4,Tizi Ouzli,0.8,Driouch,63.83540372670807,
117,Ait guirte,Azilal,Béni Mellal-Khénifra,9,Ait Taguella,0.636,Ait Ourir,0.737,Marrakech,63.975155279503106,
118,Mesker,Sidi Kacem,Rabat-Salé-Kénitra,9,Sidi Kacem,0.125,Meskoura,0.714,Khouribga,64.11490683229813,
119,afourer,Azilal,Béni Mellal-Khénifra,9,Tamda Noumercid,0.455,Afourar,0.857,Béni Mellal,64.25465838509317,
120,"B,Oulid",Taounate,Fès-Meknès,9,Bni Oulid,0.75,Bni Oulid,0.75,Taounate,64.3944099378882,
121,tassouite,Tinghir,Drâa-Tafilalet,9,Assoul,0.667,Tassousfi,0.778,Tata,64.53416149068323,
122,Daour Jdid,Fquih Ben Salah,Béni Mellal-Khénifra,8,Dar Oulad Zidouh,0.538,Oued Jdida,0.7,Meknès,64.6583850931677,
123,El Kelaa,El Kelâa des Sraghna,Marrakech-Safi,8,El Aamria,0.588,Hel Merbaa,0.667,Fquih Ben Salah,64.78260869565217,
124,"Od, Naceur",Fquih Ben Salah,Béni Mellal-Khénifra,8,Oulad Nacer,0.762,Oulad Nacer,0.762,Fquih Ben Salah,64.90683229813665,
125,Ouad Elbour,Chichaoua,Marrakech-Safi,8,Oued L'Bour,0.818,Oued L'Bour,0.818,Chichaoua,65.03105590062111,
