rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
218,ait idr,Tinghir,3,Aït Hani,0.667,Ait Said,0.8,Essaouira,58.85763989562192,
219,Jamila,Fquih Ben Salah,3,Bejaad,0.5,Msila,0.727,Taza,58.944621629457814,
220,Haouafate,Sidi Kacem,3,Chbanate,0.588,Al Haouafate,0.857,Sidi Slimane,59.031603363293705,
221,Kamoune,Béni Mellal,3,Naour,0.5,Zaïtoune,0.667,Tétouan,59.1185850971296,
222,Walili,Meknès,3,Oualili,0.769,Talilit,0.769,Driouch,59.205566830965495,
223,berraka,Nador,3,Hassi Berkane,0.5,Braksa,0.769,Khouribga,59.29254856480139,
224,My brahim,Al Haouz,3,Moulay Brahim,0.818,Moulay Brahim,0.818,Al Haouz,59.379530298637285,
225,b.chiker,Nador,3,Beni Chiker,0.737,Beni Chiker,0.737,Nador,59.46651203247318,
226,Foum er,Béni Mellal,3,Foum El Anceur,0.667,Foum Jemaa,0.706,El Kelâa des Sraghna,59.553493766309074,
227,My Idriss,Meknès,3,Moulay Idriss Zarhoun,0.6,Moulay Idriss Zarhoun,0.6,Meknès,59.64047550014497,
228,As jbel olia,Tinghir,3,Ferkla El Oulia,0.667,Ras El Ma,0.667,Berkane,59.727457233980864,
229,ait slimane,Tinghir,3,Aït Hani,0.632,Sidi Slimane,0.783,Sidi Slimane,59.814438967816756,
230,Menara,Tinghir,3,Imider,0.5,Mnasra,0.833,Kénitra,59.901420701652654,
231,Ait mraou,Tinghir,3,Ait Youl,0.706,Aït Kamra,0.778,Al Hoceïma,59.988402435488545,
232,Ait yassine,Tinghir,3,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,60.075384169324444,
233,ait s jbel,Tinghir,3,Ait Sedrate Jbel El Oulia,0.571,Bni Sidel Jbel,0.667,Nador,60.162365903160335,
234,agouidir,Chichaoua,3,Ighoud,0.571,Agoudim,0.8,Midelt,60.249347636996234,
235,MunicipalitéBM,Béni Mellal,3,Tilougguite,0.32,Bni Tadjite,0.48,Errachidia,60.336329370832125,
236,Municipalité,Nador,3,Beni Chiker,0.435,Mzilate,0.526,Chichaoua,60.42331110466802,
237,Lalla Aicha,Sidi Kacem,3,Bab Tiouka,0.19,Laagagcha,0.7,Sidi Bennour,60.510292838503915,
238,Hay Mohamadi,Agadir-Ida Ou Tanane,3,Agadir,0.444,Mohammédia,0.636,Mohammedia,60.597274572339806,
239,Mbarek El bakay,Sefrou,3,Dar El Hamra,0.593,Dar El Hamra,0.593,Sefrou,60.684256306175705,
240,boumalne k,Tinghir,3,Boumalne Dadès,0.75,Boumalne Dadès,0.75,Tinghir,60.771238040011596,
241,"Ol,DAOUD",Taounate,3,Oulad Daoud,0.737,Oulad Daoud,0.737,Taounate,60.858219773847495,
